VIN,Make,Model,ModelYear,ErrorCode,ErrorText
SAL109F90RA195161,LAND ROVER,Range Rover Sport,2024,0,
SAL109F90RA415334,LAND ROVER,Range Rover Sport,2024,0,
SAL109F91RA197193,LAND ROVER,Range Rover Sport,2024,0,
SAL109F92RA193928,LAND ROVER,Range Rover Sport,2024,0,
SAL109F96RA197240,LAND ROVER,Range Rover Sport,2024,0,
SAL109F98RA196073,LAND ROVER,Range Rover Sport,2024,0,
SAL109F98RA199894,LAND ROVER,Range Rover Sport,2024,0,
SAL119F41SA424146,LAND ROVER,Range Rover Sport,2025,0,
SAL119F42RA190013,LAND ROVER,Range Rover Sport,2024,0,
SAL119F42RA408306,LAND ROVER,Range Rover Sport,2024,0,
SAL119F42SA426486,LAND ROVER,Range Rover Sport,2025,0,
SAL119F43SA423919,LAND ROVER,Range Rover Sport,2025,0,
SAL119F43SA424066,LAND ROVER,Range Rover Sport,2025,0,
SAL119F43SA426495,LAND ROVER,Range Rover Sport,2025,0,
SAL119F43SA428716,LAND ROVER,Range Rover Sport,2025,0,
SAL119F45RA187770,LAND ROVER,Range Rover Sport,2024,0,
SAL119F45SA428488,LAND ROVER,Range Rover Sport,2025,0,
SAL119F46SA422473,LAND ROVER,Range Rover Sport,2025,0,
SAL119F46SA423543,LAND ROVER,Range Rover Sport,2025,0,
SAL119F46SA424403,LAND ROVER,Range Rover Sport,2025,0,
SAL119F46SA428158,LAND ROVER,Range Rover Sport,2025,0,
SAL119F47RA413369,LAND ROVER,Range Rover Sport,2024,0,
SAL119F48RA182756,LAND ROVER,Range Rover Sport,2024,0,
SAL119F48RA191604,LAND ROVER,Range Rover Sport,2024,0,
SAL119F48RA405846,LAND ROVER,Range Rover Sport,2024,0,
SAL119F48RA417916,LAND ROVER,Range Rover Sport,2024,0,
SAL119F49RA181194,LAND ROVER,Range Rover Sport,2024,0,
SAL119F49SA422273,LAND ROVER,Range Rover Sport,2025,0,
SAL119F49SA438084,LAND ROVER,Range Rover Sport,2025,0,
SAL119F4XSA423075,LAND ROVER,Range Rover Sport,2025,0,
SAL119F4XSA423691,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9E44SA441308,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9E4XSA445699,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0RA181997,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA191476,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA194619,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA194801,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA198654,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA405351,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA405575,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA405947,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA410243,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA411070,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA420125,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0RA421825,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU0SA424083,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA429882,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA430191,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA430918,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA431499,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA431776,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA433513,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA433608,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA435830,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA439263,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU0SA443264,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU1RA184519,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU1RA189929,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU1RA195164,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU1RA407898,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU1RA414530,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU1RA419811,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU1RA422000,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU1SA431219,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU1SA443015,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU2RA184058,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA192709,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA406646,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA406906,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA407232,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA410664,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA412639,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA420658,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA421115,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA421194,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2RA421583,LAND ROVER,Range Rover Sport,2024,0,
SAL1L9FU2SA423209,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU2SA427874,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU2SA430077,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU2SA433156,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU2SA435974,LAND ROVER,Range Rover Sport,2025,0,
SAL1L9FU2SA436543,LAND ROVER,Range Rover Sport,2025,0,
